Health Benefit Package - 2.0,Unnamed: 1,Unnamed: 2,Unnamed: 3
"General Medicine, Pediatric
Medical Management",Dengue fever,Dengue hemorrhagic fever,"1,800"
"General Medicine, Pediatric
Medical Management",Dengue fever,Dengue shock syndrome,"1,800"
"General Medicine, Pediatric Medical Management",Chikungunya fever,Chikungunya fever,"1,800"
"General Medicine, Pediatric Medical Management",Enteric fever,Enteric fever,"1,800"
"General Medicine, Pediatric Medical Management",HIV with complications,HIV with complications,"1,800"
"General Medicine, Pediatric
Medical Management",Leptospirosis,Leptospirosis,"1,800"
"General Medicine, Pediatric
Medical Management",Acute gastroenteritis with dehydration,Acute gastroenteritis with moderate dehydration,"1,800"
"General Medicine, Pediatric Medical Management",Acute gastroenteritis with dehydration,Acute gastroenteritis with severe dehydration,"1,800"
"General Medicine, Pediatric Medical Management",Diarrohea,Chronic diarrohea,"1,800"
"General Medicine, Pediatric Medical Management",Diarrohea,Persistent diarrohea,"1,800"
"General Medicine, Pediatric
Medical Management",Dysentery,Dysentery,"1,800"
"General Medicine, Pediatric Medical Management",Acute viral hepatitis,Acute viral hepatitis,"1,800"
"General Medicine, Pediatric Medical Management",Chronic Hepatitis,Chronic Hepatitis,"1,800"
"General Medicine, Pediatric
Medical Management",Liver abscess,Liver abscess,"1,800"
"General Medicine, Pediatric
Medical Management",Visceral leishmaniasis,Visceral leishmaniasis,"1,800"
"General Medicine, Pediatric Medical Management",Pneumonia,Pneumonia,"1,800"
"General Medicine, Pediatric Medical Management",Severe pneumonia,Severe pneumonia,"1,800"
"General Medicine, Pediatric
Medical Management",Empyema,Empyema,"1,800"
"General Medicine, Pediatric
Medical Management",Lung abscess,Lung abscess,"1,800"
"General Medicine, Pediatric Medical Management",Pericardial / Pleural tuberculosis,Pericardial tuberculosis,"1,800"
"General Medicine, Pediatric Medical Management",Pericardial / Pleural tuberculosis,Pleural tuberculosis,"1,800"
"General Medicine, Pediatric
Medical Management",Urinary Tract Infection,Urinary Tract Infection,"1,800"
"General Medicine, Pediatric
Medical Management",Viral encephalitis,Viral encephalitis,"1,800"
"General Medicine, Pediatric Medical Management",Septic Arthritis,Septic Arthritis,"1,800"
"General Medicine, Pediatric Medical Management",Skin and soft tissue infections,Skin and soft tissue infections,"1,800"
"General Medicine, Pediatric
Medical Management",Recurrent vomiting with dehydration,Recurrent vomiting with dehydration,"1,800"
"General Medicine, Pediatric
Medical Management",Pyrexia of unknown origin,Pyrexia of unknown origin,"1,800"
General Medicine,Bronchiectasis,Bronchiectasis,"1,800"
"General Medicine, Pediatric Medical Management",Acute bronchitis,Acute bronchitis,"1,800"
General Medicine,Acute excaberation of COPD,Acute excaberation of COPD,"1,800"
"General Medicine, Pediatric
Medical Management",Acute excaberation of Interstitial Lung Disease,Acute excaberation of Interstitial Lung Disease,"1,800"
"General Medicine, Pediatric
Medical Management",Endocarditis,Bacterial Endocarditis,"1,800"
"General Medicine, Pediatric Medical Management",Endocarditis,Fungal Endocarditis,"1,800"
"General Medicine, Pediatric Medical Management",Vasculitis,Vasculitis,"1,800"
"General Medicine, Pediatric
Medical Management",Pancreatitis,Acute pancreatitis,"1,800"
"General Medicine, Pediatric
Medical Management",Pancreatitis,Chronic pancreatitis,"1,800"
"General Medicine, Pediatric Medical Management",Ascites,Ascites,"1,800"
"General Medicine, Pediatric Medical Management",Acute transverse myelitis,Acute transverse myelitis,"1,800"
"General Medicine, Pediatric
Medical Management",Atrial Fibrillation,Atrial Fibrillation,"1,800"
General Medicine,Cardiac Tamponade,Cardiac Tamponade,"1,800"
"General Medicine, Pediatric
Medical Management",Congestive heart failure,Congestive heart failure,"1,800"
"General Medicine, Pediatric Medical Management",Asthma,Acute asthmatic attack,"1,800"
"General Medicine, Pediatric Medical Management",Asthma,Status asthmaticus,"1,800"
"General Medicine, Pediatric
Medical Management",Respiratory failure,Type 1 respiratory failure,"1,800"
"General Medicine, Pediatric
Medical Management",Respiratory failure,Type 2 respiratory failure,"1,800"
"General Medicine, Pediatric Medical Management",Respiratory failure,"Due to any cause (pneumonia, asthma, COPD, ARDS, foreign body, poisoning, head injury etc.)","1,800"
"General Medicine, Pediatric Medical Management",Upper GI bleeding,Upper GI bleeding (conservative),"1,800"
"General Medicine, Pediatric
Medical Management",Upper GI bleeding,Upper GI bleeding (endoscopic),"1,800"
"General Medicine, Pediatric
Medical Management",Lower GI hemorrhage,Lower GI hemorrhage,"1,800"
"General Medicine, Pediatric Medical Management",Addison’s disease,Addison’s disease,"1,800"
General Medicine,Renal colic,Renal colic,"1,800"
"General Medicine, Pediatric
Medical Management",AKI / Renal failure,AKI / Renal failure,"1,800"
"General Medicine, Pediatric
Medical Management",Seizures,Seizures,"1,800"
"General Medicine, Pediatric
Medical Management",Status epilepticus,Status epilepticus,"1,800"
General Medicine,Cerebrovascular accident,Cerebrovascular accident,"1,800"
General Medicine,Cerebral sino-venous thrombosis / Stroke,Cerebral sino-venous thrombosis,"1,800"
General Medicine,Cerebral sino-venous thrombosis / Stroke,Acute stroke,"1,800"
General Medicine,Cerebral sino-venous thrombosis / Stroke,Acute ischemic stroke,"1,800"
General Medicine,Cerebral sino-venous thrombosis / Stroke,Acute heamorrhagic stroke,"1,800"
"General Medicine, Pediatric
Medical Management",Immune mediated CNS disorders,Immune mediated CNS disorders,"1,800"
"General Medicine, Pediatric Medical Management",Hydrocephalus,Hydrocephalus,"1,800"
"General Medicine, Pediatric Medical Management",Myxedema coma,Myxedema coma,"1,800"
"General Medicine, Pediatric
Medical Management",Thyrotoxic crisis,Thyrotoxic crisis,"1,800"
General Medicine,Gout,Gout,"1,800"
"General Medicine, Pediatric
Medical Management",Pneumothroax,Pneumothroax,"1,800"
"General Medicine, Pediatric Medical Management",Neuromuscular disorders,Neuromuscular disorders,"1,800"
"General Medicine, Pediatric Medical Management",Hypoglycemia,Hypoglycemia,"1,800"
General Medicine,Diabetic Foot,Diabetic Foot,"1,800"
"General Medicine, Pediatric
Medical Management",Diabetic ketoacidosis,Diabetic ketoacidosis,"1,800"
"General Medicine, Pediatric
Medical Management",Electrolyte Imbalance,Hypercalcemia,"1,800"
"General Medicine, Pediatric Medical Management",Electrolyte Imbalance,Hypocalcemia,"1,800"
"General Medicine, Pediatric
Medical Management",Electrolyte Imbalance,Hyponatremia,"1,800"
"General Medicine, Pediatric
Medical Management",Electrolyte Imbalance,Hypernatremia,"1,800"
"General Medicine, Pediatric
Medical Management",Hyperosmolar Non-Ketotic coma,Hyperosmolar Non-Ketotic coma,"1,800"
"General Medicine, Pediatric Medical Management",Accelerated hypertension,Accelerated hypertension,"1,800"
"General Medicine, Pediatric
Medical Management",Hypertensive emergencies,Hypertensive emergencies,"1,800"
"General Medicine, Pediatric
Medical Management",Severe anemia,Severe anemia,"1,800"
"General Medicine, Pediatric
Medical Management",Sickle cell Anemia,Sickle cell Anemia,"1,800"
"General Medicine, Pediatric Medical Management",Anaphylaxis,Anaphylaxis,"1,800"
"General Medicine, Pediatric Medical Management",Heat stroke,Heat stroke,"1,800"
"General Medicine, Pediatric
Medical Management",Systematic lupus erythematosus,Systematic lupus erythematosus,"1,800"
"General Medicine, Pediatric
Medical Management",Guillian Barre Syndrome,Guillian Barre Syndrome,"1,800"
"General Medicine, Pediatric Medical Management",Snake bite,Snake bite,"1,800"
"General Medicine, Pediatric Medical Management",Poisoning,Acute organophosphorus poisoning,"1,800"
"General Medicine, Pediatric
Medical Management",Poisoning,Other poisonings,"1,800"
General Medicine,Haemodialysis / Peritoneal Dialysis,Haemodialysis Dialysis,"1,500"
General Medicine,Haemodialysis / Peritoneal Dialysis,Peritoneal Dialysis,"1,500"
"General Medicine, Pediatric Medical Management",Plasmapheresis,Plasmapheresis,"2,000"
"General Medicine, Pediatric Medical Management",Blood transfusion,Whole Blood transfusion,"2,000"
"General Medicine, Pediatric Medical Management",Blood transfusion,"Blood component including platelet transfusion (RDP, PC, SDP)","2,000"
"General Medicine, Pediatric Medical Management","High end radiological diagnostic
(CT, MRI, Imaging including nuclear imaging)","High end radiological diagnostic
(CT, MRI, Imaging including nuclear imaging)","5,000"
"General Medicine, Pediatric Medical Management",High end histopathology (Biopsies) and advanced serology investigations,High end histopathology (Biopsies) and advanced serology investigations,"5,000"
Mental Disorders,Mental Retardation,Mental Retardation,"1,500"
Mental Disorders,"Mental disorders - Organic, including symptomatic","Mental disorders - Organic, including symptomatic","1,500"
Mental Disorders,"Schizophrenia, schizotypal and delusional disorders","Schizophrenia, schizotypal and delusional disorders","1,500"
Mental Disorders,"Neurotic, stress-related and somatoform disorders","Neurotic, stress-related and somatoform disorders","1,500"
Mental Disorders,Mood (affective) disorders,Mood (affective) disorders,"1,500"
Mental Disorders,"Behavioural syndromes associated with
physiological disturbances and physical factors","Behavioural syndromes associated with
physiological disturbances and physical factors","1,500"
Mental Disorders,Mental and Behavioural disorders due to psychoactive substance use,Mental and Behavioural disorders due to psychoactive substance use,"1,500"
Mental Disorders,"Pre - Electro Convulsive Therapy (ECT) and Pre - Transcranial Magnetic Stimulation (TMS) Package (Cognitive Tests, Complete Haemogram, Liver Function Test, Renal Function Test, Serum Electrolytes, Electro Cardiogram (ECG), CT / MRI Brain, Electroencephalogram, Thyroid Function Test, VDRL, HIV Test, Vitamin B12 levels, Folate levels, Lipid Profile, Homocysteine levels)","Pre - Electro Convulsive Therapy (ECT) and Pre - Transcranial Magnetic Stimulation (TMS) Package (Cognitive Tests, Complete Haemogram, Liver Function Test, Renal Function Test, Serum Electrolytes, Electro Cardiogram (ECG), CT / MRI Brain, Electroencephalogram, Thyroid Function Test, VDRL, HIV Test, Vitamin B12 levels, Folate levels, Lipid Profile, Homocysteine levels)","10,000"
Mental Disorders,Electro Convulsive Therapy (ECT) - per session,Electro Convulsive Therapy (ECT) - per session,"3,000"
Mental Disorders,Transcranial Magnetic Stimulation (TMS) - per session,Transcranial Magnetic Stimulation (TMS) - per session,"1,000"
Neo - natal Care,"Basic neonatal care package: Babies that can be managed by side of mother in postnatal ward without requiring admission in SNCU/NICU:
• Any newborn needing feeding support
• Babies requiring closer monitoring or short-term care for conditions like:
o Birth asphyxia (need for positive pressure ventilation; no HIE)
o Moderate jaundice requiring phototherapy
o Large for dates (>97 percentile) Babies
o Small for gestational age (less than 3rd centile)","Basic neonatal care package: Babies that can be managed by side of mother in postnatal ward without requiring admission in SNCU/NICU:
• Any newborn needing feeding support
• Babies requiring closer monitoring or short-term care for conditions like:
o Birth asphyxia (need for positive pressure ventilation; no HIE)
o Moderate jaundice requiring phototherapy
o Large for dates (>97 percentile) Babies
o Small for gestational age (less than 3rd centile)",500
Neo - natal Care,"Special Neonatal Care Package: Babies that required admission to SNCU or NICU:
Babies admitted for short term care for conditions like:
• Mild Respiratory Distress/tachypnea
• Mild encephalopathy
• Severe jaundice requiring intensive phototherapy
• Haemorrhagic disease of newborn
• Unwell baby requiring monitoring
• Some dehydration
• Hypoglycaemia
Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in the package rate","Special Neonatal Care Package: Babies that required admission to SNCU or NICU:
Babies admitted for short term care for conditions like:
• Mild Respiratory Distress/tachypnea
• Mild encephalopathy
• Severe jaundice requiring intensive phototherapy
• Haemorrhagic disease of newborn
• Unwell baby requiring monitoring
• Some dehydration
• Hypoglycaemia
Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in the package rate","3,000"
Neo - natal Care,"Intensive Neonatal Care Package Babies with birthweight 1500-1799 g
or
Babies of any birthweight and at least one of the following conditions:
• Need for mechanical ventilation for less than 24 hours or non-invasive respiratory support (CPAP, HFFNC)
• Sepsis / pneumonia without complications
• Hyperbilirubinemia requiring exchange transfusion
• Seizures
• Major congenital malformations (pre-surgical stabilization, not requiring ventilation)
• Cholestasis significant enough requiring work up and in-hospital management
• Congestive heart failure or shock Mother's stay and food in the hospital for
breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in
the package rate","Intensive Neonatal Care Package Babies with birthweight 1500-1799 g
or
Babies of any birthweight and at least one of the following conditions:
• Need for mechanical ventilation for less than 24 hours or non-invasive respiratory support (CPAP, HFFNC)
• Sepsis / pneumonia without complications
• Hyperbilirubinemia requiring exchange transfusion
• Seizures
• Major congenital malformations (pre-surgical stabilization, not requiring ventilation)
• Cholestasis significant enough requiring work up and in-hospital management
• Congestive heart failure or shock Mother's stay and food in the hospital for
breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in
the package rate","5,000"
Neo - natal Care,"Advanced Neonatal Care Package:
Babies with birthweight of 1200-1499 g or
Babies of any birthweight with at least one of the following conditions:
• Any condition requiring invasive ventilation longer than 24 hours
• Hypoxic Ischemic encephalopathy requiring Therapeutic Hypothermia
• Cardiac rhythm disorders needing intervention (the cost of cardiac surgery or implant will be covered under cardiac surgery packages)
• Sepsis with complications such as meningitis or bone and joint infection, DIC or shock
• Renal failure requiring dialysis
• Inborn errors of metabolism
Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in the package rate","Advanced Neonatal Care Package:
Babies with birthweight of 1200-1499 g or
Babies of any birthweight with at least one of the following conditions:
• Any condition requiring invasive ventilation longer than 24 hours
• Hypoxic Ischemic encephalopathy requiring Therapeutic Hypothermia
• Cardiac rhythm disorders needing intervention (the cost of cardiac surgery or implant will be covered under cardiac surgery packages)
• Sepsis with complications such as meningitis or bone and joint infection, DIC or shock
• Renal failure requiring dialysis
• Inborn errors of metabolism
Mother's stay and food in the hospital for breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in the package rate","6,000"
Neo - natal Care,"Critical Care Neonatal Package:
Babies with birthweight of <1200 g or
Babies of any birthweight with at least one of the following conditions:
• Severe Respiratory Failure requiring High Frequency Ventilation or inhaled Nitric Oxide (iNO)
• Multisystem failure requiring multiple organ support including mechanical ventilation and multiple inotropes
• Critical congenital heart disease Mother's stay and food in the hospital for
breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in
the package rate","Critical Care Neonatal Package:
Babies with birthweight of <1200 g or
Babies of any birthweight with at least one of the following conditions:
• Severe Respiratory Failure requiring High Frequency Ventilation or inhaled Nitric Oxide (iNO)
• Multisystem failure requiring multiple organ support including mechanical ventilation and multiple inotropes
• Critical congenital heart disease Mother's stay and food in the hospital for
breastfeeding, family centred care and (Kangaroo Mother Care) KMC is mandatory and included in
the package rate","7,000"
Neo - natal Care,"Chronic Care Package: If the baby requires stay beyond the upper limit of usual stay in Package no MN004A or MN005A for conditions like severe BPD requiring respiratory support, severe NEC requiring prolonged TPN support","Chronic Care Package: If the baby requires stay beyond the upper limit of usual stay in Package no MN004A or MN005A for conditions like severe BPD requiring respiratory support, severe NEC requiring prolonged TPN support","3,000"
Neo - natal Care,High Risk Newborn Post Discharge Care Package (Protocol Driven),High Risk Newborn Post Discharge Care Package (Protocol Driven),"2,400"
Neo - natal Care,"Laser Therapy for Retinopathy of Prematurity
(Irrespective of no. of eyes affected) - per session","Laser Therapy for Retinopathy of Prematurity
(Irrespective of no. of eyes affected) - per session","1,500"
Neo - natal Care,Advanced Surgery for Retinopathy of Prematurity,Advanced Surgery for Retinopathy of Prematurity,"15,000"
Neo - natal Care,Ventriculoperitoneal Shunt Surgery (VP) or Omaya Reservoir or External Drainage for Hydrocephalus,Ventriculoperitoneal Shunt Surgery (VP) or Omaya Reservoir or External Drainage for Hydrocephalus,"5,000"
Medical Oncology,CT for CA Breast,Cyclophosphamide + Epirubcin,"7,200"
Medical Oncology,CT for CA Breast,Weekly Paclitaxel for Adjuvant Therapy,"5,800"
Medical Oncology,CT for CA Breast,Weekly Paclitaxel in metastatic setting,"5,800"
Medical Oncology,CT for CA Breast,Cyclophosphamide + Methotrexate + 5 - FU,"3,200"
Medical Oncology,CT for CA Breast,Docetaxel + Cyclophosphamide,"19,800"
Medical Oncology,CT for CA Breast,Trastuzumab,"21,200"
Medical Oncology,CT for CA Breast,Tamoxifen,"1,200"
Medical Oncology,CT for CA Breast,Letrozole,"3,900"
Medical Oncology,CT for CA Breast,Carboplatin + Paclitaxel,"14,900"
Medical Oncology,CT for CA Breast,Capecitabine,"7,400"
Medical Oncology,CT for CA Breast,Carboplatin + Gemcitabine,"13,900"
Medical Oncology,CT for CA Breast,Cyclophosphamide + Adriamycin,"4,500"
Medical Oncology,CT for CA Breast,Fulvestrant,"11,000"
Medical Oncology,CT for CA Breast,Paclitaxel,"11,800"
Medical Oncology,CT for CA Breast,Exemestane,"10,400"
Medical Oncology,CT for Metastatic bone malignancy and multiple myeloma,Zoledronic Acid,"4,500"
Medical Oncology,CT for CA Ovary,Cisplatin + Irinotecan,"10,200"
Medical Oncology,CT for CA Ovary,Lipodox + Carboplatin,"17,200"
Medical Oncology,CT for CA Ovary,Etoposide,"3,400"
Medical Oncology,CT for CA Ovary,Irinotecan,"8,400"
Medical Oncology,CT for CA Ovary,Lipodox,"14,800"
Medical Oncology,CT for CA Ovary,Carboplatin + Gemcitabine,"13,900"
Medical Oncology,CT for CA Ovary,Carboplatin + Paclitaxel,"14,700"
Medical Oncology,CT for Germ Cell Tumor,Carboplatin (AUC 7),"5,800"
Medical Oncology,CT for Germ Cell Tumor,Bleomycin + Etoposide + Cisplatin,"11,600"
Medical Oncology,CT for Germ Cell Tumor,Etoposide + Cisplatin,"10,000"
Medical Oncology,CT for Germ Cell Tumor,Gemcitabine + Oxaliplatin,"17,500"
Medical Oncology,CT for Germ Cell Tumor,Gemcitabine + Paclitaxel,"17,500"
Medical Oncology,CT for Germ Cell Tumor,Paclitaxel + Ifosfamide + Cisplatin,"24,400"
Medical Oncology,CT for Germ Cell Tumor,Vinblastin + Ifosfamide + Cisplatin,"12,600"
Medical Oncology,CT for Gestational Trophoblastic Neoplasia,EMA - CO,"11,400"
Medical Oncology,CT for Gestational Trophoblastic Neoplasia,EMA - EP,"12,200"
Medical Oncology,CT for Gestational Trophoblastic Neoplasia,Methotrexate,"1,100"
Medical Oncology,CT for Cervical Cancer,Carboplatin + Paclitaxel,"14,900"
Medical Oncology,CT for Cervical Cancer,Cisplatin,"2,200"
